date,num
2014/10/18,127
2014/10/19,264
2014/10/20,311
2014/10/21,270
2014/10/22,373
2014/10/23,339
2014/10/24,471
2014/10/25,403
2014/10/26,366
2014/10/27,262
2014/10/28,305
2014/10/29,1
2014/10/30,313
2014/10/31,449
2014/11/1,263
2014/11/2,240
2014/11/3,227
2014/11/4,216
2014/11/5,332
2014/11/6,255
2014/11/7,388
2014/11/8,257
2014/11/9,224
2014/11/10,221
2014/11/11,214
2014/11/12,285
2014/11/13,233
2014/11/14,321
2014/11/15,288
2014/11/16,203
2014/11/17,178
2014/11/18,186
2014/11/19,261
2014/11/20,233
2014/11/21,218
2014/11/22,257
2014/11/23,241
2014/11/24,128
2014/11/25,154
2014/11/26,326
2014/11/27,190
2014/11/28,307
2014/11/29,290
2014/11/30,222
2014/12/1,149
2014/12/2,167
2014/12/3,175
2014/12/4,164
2014/12/5,267
2014/12/6,222
2014/12/7,175
2014/12/8,174
2014/12/9,166
2014/12/10,194
2014/12/11,163
2014/12/12,222
2014/12/13,188
2014/12/14,178
2014/12/15,119
2014/12/16,140
2014/12/17,191
2014/12/18,138
2014/12/19,209
2014/12/20,190
2014/12/21,148
2014/12/22,136
2014/12/23,173
2014/12/24,149
2014/12/25,155
2014/12/26,162
2014/12/27,202
2014/12/28,182
2014/12/29,141
2014/12/30,159
2014/12/31,164
2015/1/1,96
2015/1/2,157
2015/1/3,133
2015/1/4,158
2015/1/5,152
2015/1/6,133
2015/1/7,168
2015/1/8,178
2015/1/9,223
2015/1/10,214
2015/1/11,184
2015/1/12,148
2015/1/13,112
2015/1/14,127
2015/1/15,173
2015/1/16,199
2015/1/17,215
2015/1/18,185
2015/1/19,121
2015/1/20,146
2015/1/21,142
2015/1/22,174
2015/1/23,164
2015/1/24,161
2015/1/25,153
2015/1/26,135
2015/1/27,99
2015/1/28,148
2015/1/29,86
2015/1/30,104
2015/1/31,127
